Date,HomeTeam,HomeScore,AwayScore,AwayTeam
2023-11-05,Nürnberg II,2,1,Memmingen
2023-11-10,Augsburg II,5,4,Nürnberg II
2024-04-02,Nürnberg II,2,0,Bayern München II
2023-11-25,Illertissen,3,1,Nürnberg II
2024-03-03,Nürnberg II,1,1,Aubstadt
2024-03-09,Ansbach,0,3,Nürnberg II
2024-03-17,Nürnberg II,4,1,Viktoria Aschaffenburg
2024-03-22,Buchbach,1,3,Nürnberg II
2024-03-30,Nürnberg II,1,2,Greuther Fürth II
2024-04-06,Eintracht Bamberg,2,6,Nürnberg II
2024-04-13,Nürnberg II,2,1,Wacker Burghausen
2024-04-20,Türkgücü-Ataspor,,,Nürnberg II
2024-04-27,Nürnberg II,,,FC Wurzburger Kickers
2024-05-04,Nürnberg II,,,FC Schweinfurt 05
2024-05-10,Bayreuth,,,Nürnberg II
2024-05-18,Nürnberg II,,,Schalding-Heining
2024-04-27,Al Urooba,2,1,Gulf United
2024-04-20,Hebar 1918,0,3,Ludogorets
2024-04-28,Ludogorets,,,Levski Krumovgrad
2024-05-11,Ludogorets,,,CSKA Sofia
2024-05-18,Cherno More Varna,,,Ludogorets
2024-05-22,Ludogorets,,,Lokomotiv Plovdiv
2024-05-25,Levski Sofia,,,Ludogorets
2024-04-21,NK Lokomotiva Zagreb,0,1,Dinamo Zagreb
2024-04-21,HNK Rijeka,3,0,HNK Gorica
2024-04-27,NK Varazdin,0,1,Dinamo Zagreb
2024-04-21,Real Madrid,3,2,Barcelona
2024-04-26,Real Sociedad,0,1,Real Madrid
2024-05-11,Granada CF,,,Real Madrid
2024-05-14,Real Madrid,,,Alaves
2024-04-23,Barrow,1,2,Bradford
2024-04-20,Crewe,0,3,Wrexham
2024-04-20,Walsall,2,3,Bradford
2024-04-27,Bradford,4,1,Newport County
2024-04-27,Wrexham,2,1,Stockport County
2024-04-20,Worthing,4,2,Weston-super-Mare
2024-04-24,Levante Las Planas,2,4,Barcelona W
2024-05-10,Barcelona W,,,Athletic Club W
2024-04-20,Deportivo La Coruna,2,0,Cultural Leonesa
2024-04-21,Linares Deportivo,0,1,Castellón
2024-04-19,Al-Nassr,3,1,Al-Fayha
2024-04-27,Al Khaleej Saihat,0,1,Al-Nassr
2024-04-26,Al-Hilal Saudi FC,3,1,Al-Fateh
2024-05-09,Al Akhdoud,,,Al-Nassr
2024-05-11,Al-Hilal Saudi FC,,,Al-Hazm
2024-05-17,Al-Nassr,,,Al-Hilal Saudi FC
2024-05-23,Al Riyadh,,,Al-Nassr
2024-05-23,Al-Hilal Saudi FC,,,Al Taee
2024-05-27,Al-Nassr,,,Al-Ittihad FC
2024-05-27,Al Wehda Club,,,Al-Hilal Saudi FC
2024-04-20,Türkgücü-Ataspor,0,2,Nürnberg II
2024-04-27,Nürnberg II,1,0,FC Wurzburger Kickers
2024-04-21,Galatasaray,4,1,Pendikspor
2024-04-26,Adana Demirspor,0,3,Galatasaray
