Date,HomeTeam,HomeScore,AwayScore,AwayTeam
2024-01-27,Swindon Town,2,0,Bradford
2024-04-09,Wrexham,4,1,Crawley Town
2024-02-03,Bradford,0,0,AFC Wimbledon
2024-02-03,Salford City,3,1,Wrexham
2024-02-10,Wrexham,0,1,Bradford
2024-02-13,Bradford,4,0,Milton Keynes Dons
2024-02-13,Sutton Utd,1,2,Wrexham
2024-02-17,Bradford,1,0,Sutton Utd
2024-02-17,Wrexham,1,0,Notts County
2024-04-23,Barrow,,,Bradford
2024-02-24,Gillingham,1,0,Wrexham
2024-03-19,Bradford,0,3,Notts County
2024-03-02,Wrexham,4,0,Accrington ST
2024-03-09,Accrington ST,0,3,Bradford
2024-03-09,Morecambe,1,3,Wrexham
2024-03-12,Bradford,0,2,Forest Green
2024-03-12,Wrexham,0,0,Harrogate Town
2024-03-16,Bradford,1,5,Mansfield Town
2024-03-16,Wrexham,0,1,Tranmere
2024-03-23,Grimsby,1,3,Wrexham
2024-03-23,Harrogate Town,3,0,Bradford
2024-03-29,Bradford,2,0,Tranmere
2024-03-29,Wrexham,2,0,Mansfield Town
2024-04-02,Doncaster,1,0,Wrexham
2024-04-01,Grimsby,1,1,Bradford
2024-04-06,Bradford,1,0,Gillingham
2024-04-06,Colchester,1,2,Wrexham
2024-04-13,Salford City,1,2,Bradford
2024-04-13,Wrexham,6,0,Forest Green
2024-04-20,Crewe,,,Wrexham
2024-04-20,Walsall,,,Bradford
2024-04-27,Bradford,,,Newport County
2024-04-27,Wrexham,,,Stockport County
2023-07-14,Levski Krumovgrad,3,1,Ludogorets
2023-07-22,Ludogorets,5,0,Etar Veliko Tarnovo
2023-11-02,Slavia Sofia,0,2,Ludogorets
2023-08-05,Botev Vratsa,0,5,Ludogorets
2023-08-13,Ludogorets,3,0,CSKA Sofia
2023-08-20,Cherno More Varna,1,0,Ludogorets
2023-08-27,Ludogorets,5,0,Beroe
2024-04-11,CSKA 1948,0,1,Ludogorets
2023-09-16,Ludogorets,2,2,Botev Plovdiv
